,Date,Adj Close,Close,High,Low,Open,Volume
0,2024-01-02,256.90631103515625,258.8699951171875,260.0899963378906,257.6700134277344,259.6099853515625,5471000
1,2024-01-03,256.0230712890625,257.9800109863281,258.8599853515625,256.8599853515625,258.54998779296875,4148300
2,2024-01-04,257.64068603515625,259.6099853515625,261.0400085449219,258.0,258.07000732421875,3843000
3,2024-01-05,257.7200927734375,259.69000244140625,261.4599914550781,258.75,260.7799987792969,3748400
4,2024-01-08,260.5484619140625,262.5400085449219,262.6199951171875,259.95001220703125,260.94000244140625,4659000
5,2024-01-09,261.33245849609375,263.3299865722656,263.6199951171875,261.1400146484375,262.0,7055800
6,2024-01-10,262.5531311035156,264.55999755859375,265.3699951171875,262.8599853515625,264.9700012207031,4355800
7,2024-01-11,262.0271301269531,264.0299987792969,266.19000244140625,262.3999938964844,265.4599914550781,5599000
8,2024-01-12,262.1661376953125,264.1700134277344,265.54998779296875,263.7099914550781,265.1300048828125,4656100
9,2024-01-16,263.2279357910156,265.239990234375,265.6600036621094,262.3500061035156,263.5199890136719,6196400
10,2024-01-17,264.6074523925781,266.6300048828125,267.1000061035156,264.3900146484375,264.4200134277344,5118700
11,2024-01-18,266.1059875488281,268.1400146484375,268.7799987792969,266.4200134277344,267.8800048828125,6694300
12,2024-01-19,268.84503173828125,270.8999938964844,271.1499938964844,267.04998779296875,268.17999267578125,7224600
13,2024-01-22,269.1427917480469,271.20001220703125,272.3500061035156,270.3599853515625,272.239990234375,5984300
14,2024-01-23,269.20233154296875,271.260009765625,271.8699951171875,269.9100036621094,271.54998779296875,5883000
15,2024-01-24,269.5893249511719,271.6499938964844,272.8599853515625,271.0799865722656,272.57000732421875,5021700
16,2024-01-25,270.5420837402344,272.6099853515625,272.7799987792969,270.79998779296875,271.95001220703125,6894900
17,2024-01-26,265.9075012207031,267.94000244140625,270.8699951171875,265.6000061035156,265.94000244140625,8586500
18,2024-01-29,271.5841064453125,273.6600036621094,275.07000732421875,266.7099914550781,266.9700012207031,6574500
19,2024-01-30,275.0476379394531,277.1499938964844,278.6400146484375,274.19000244140625,274.5899963378906,6549000
20,2024-01-31,271.1871032714844,273.260009765625,279.989990234375,273.17999267578125,277.1199951171875,6139300
21,2024-02-01,274.9483642578125,277.04998779296875,277.19000244140625,273.3599853515625,273.3900146484375,7065000
22,2024-02-02,275.077392578125,277.17999267578125,278.5,275.67999267578125,277.6099853515625,4848700
23,2024-02-05,273.489501953125,275.5799865722656,278.0,275.1300048828125,277.3999938964844,4899100
24,2024-02-06,274.66058349609375,276.760009765625,276.8800048828125,274.0299987792969,274.79998779296875,4400000
25,2024-02-07,277.2706604003906,279.3900146484375,279.5400085449219,277.05999755859375,279.3800048828125,4785900
26,2024-02-08,274.1983642578125,275.7799987792969,279.6600036621094,275.2799987792969,279.5400085449219,5833400
27,2024-02-09,274.8446350097656,276.42999267578125,277.17999267578125,274.0899963378906,275.0,4618300
28,2024-02-12,273.492431640625,275.07000732421875,276.6700134277344,274.239990234375,276.42999267578125,3676200
29,2024-02-13,274.22821044921875,275.80999755859375,278.0,272.760009765625,273.75,5493800
30,2024-02-14,275.9681396484375,277.55999755859375,277.6400146484375,274.7099914550781,276.4700012207031,4218400
31,2024-02-15,279.3685607910156,280.9800109863281,281.1199951171875,277.55999755859375,277.6499938964844,4834800
32,2024-02-16,276.96240234375,278.55999755859375,281.1199951171875,277.8699951171875,280.9599914550781,6630100
33,2024-02-20,273.57196044921875,275.1499938964844,276.8399963378906,273.3399963378906,274.57000732421875,6157200
34,2024-02-21,275.1727600097656,276.760009765625,276.9700012207031,273.5299987792969,274.6300048828125,4771100
35,2024-02-22,282.1226806640625,283.75,284.05999755859375,278.9800109863281,279.17999267578125,5100200
36,2024-02-23,281.9735412597656,283.6000061035156,285.95001220703125,283.5,284.7200012207031,5107700
37,2024-02-26,282.5203857421875,284.1499938964844,285.3500061035156,282.6600036621094,283.0400085449219,3856900
38,2024-02-27,281.5460205078125,283.1700134277344,284.1700134277344,281.5400085449219,284.1700134277344,4145200
39,2024-02-28,283.99188232421875,285.6300048828125,286.1300048828125,282.0799865722656,282.1000061035156,4358800
40,2024-02-29,281.01904296875,282.6400146484375,285.6600036621094,282.17999267578125,285.5,6633700
41,2024-03-01,281.5360107421875,283.1600036621094,284.9100036621094,282.1099853515625,283.20001220703125,3955400
42,2024-03-04,278.9211120605469,280.5299987792969,283.0,278.1300048828125,282.80999755859375,5920300
43,2024-03-05,277.7777099609375,279.3800048828125,280.989990234375,277.67999267578125,280.2699890136719,6227900
44,2024-03-06,278.8216857910156,280.42999267578125,282.0,279.30999755859375,280.0,4535200
45,2024-03-07,276.6641845703125,278.260009765625,281.1700134277344,276.1600036621094,280.8800048828125,5668500
46,2024-03-08,278.4339294433594,280.0400085449219,281.6700134277344,278.8299865722656,279.0,3928800
