Components,
BTC-GBP,
ETH-GBP,
XRP-GBP,
USDT-GBP,
BNB-GBP,
SOL-GBP,
DOGE-GBP,
USDC-GBP,
ADA-GBP,
TRX-GBP,
AVAX-GBP,
LINK-GBP,
SHIB-GBP,
XLM-GBP,
HBAR-GBP,
DOT-GBP,
BCH-GBP,
LTC-GBP,
DAI-GBP,
ICP-GBP,
AAVE-GBP,
CRO-GBP,
ETC-GBP,
VET-GBP,
XMR-GBP,
FET-GBP,
ALGO-GBP,
FIL-GBP,
ATOM-GBP,
